Name,ClassName,Type,Description,Solution,Image Link,Plant Name
"Bệnh rệp sáp lông trắng Mía (Mawa)",Sugarcane_Mawa,Côn trùng gây hại,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh ""Mawa"" hay còn gọi là Rệp sáp lông trắng, là dịch hại nghiêm trọng tại các vùng trồng mía. Rệp hút nhựa cây làm giảm chữ đường (CCS) và năng suất mía cây.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Tên khoa học:</strong> <em>Ceratovacuna lanigera</em> Zehntner.</li><li><strong>Đặc điểm:</strong> Rệp trưởng thành có lớp sáp trắng dày phủ trên lưng, sống tập trung ở mặt dưới lá.</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Trên lá:</strong> Mặt dưới lá phủ đầy lớp phấn trắng như bông. Rệp tiết ra dịch mật ngọt làm môi trường cho nấm bồ hóng (sooty mould) phát triển, khiến mặt trên lá chuyển màu đen kịt.</li><li><strong>Trên cây:</strong> Cây sinh trưởng kém, dóng ngắn, lá vàng và khô sớm. Quá trình quang hợp bị cản trở nghiêm trọng do lớp bồ hóng.</li></ul><h3>Điều kiện phát sinh</h3><p>Phát triển mạnh trong điều kiện ẩm độ cao, ruộng mía trồng dày, bón thừa đạm và thiếu ánh sáng.</p></div>","1. Biện pháp canh tác (Quan trọng nhất):<br>- Vệ sinh đồng ruộng, bóc lá già (đánh lá) đem đốt để diệt trứng và rệp non, giúp ruộng thông thoáng.<br>- Không bón thừa phân Đạm (N), tăng cường Kali để cây cứng cáp.<br><br>2. Biện pháp sinh học:<br>- Bảo vệ thiên địch như Bọ rùa, Kiến ba khoang, Ong ký sinh trong ruộng mía.<br><br>3. Biện pháp hóa học (Đặc trị):<br>- Chỉ phun khi mật độ rất cao. Sử dụng các hoạt chất thấm sâu và lưu dẫn mạnh như: <strong>Imidacloprid</strong>, <strong>Thiamethoxam</strong>, <strong>Pymetrozin</strong> hoặc <strong>Spirotetramat</strong>.<br>- Lưu ý: Phun tập trung vào mặt dưới lá và phun vào sáng sớm hoặc chiều mát.","https://agritech.tnau.ac.in/crop_protection/images/pestc/sugarcane/whitewooly/sym.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764603525/aug_0_image154_pl5kke.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764603613/aug_0_image239_hf52rf.jpg",Mía
"Lá mía khô (Sinh lý/Thiếu nước)",Sugarcane_Dried_Leaves,Sinh lý cây trồng,"<div><h2>Mô tả hiện tượng</h2><p>Đây là hiện tượng lá mía bị khô héo do các yếu tố sinh lý hoặc môi trường, không phải do vi sinh vật tấn công. Việc phân biệt đúng giúp tiết kiệm chi phí thuốc bảo vệ thực vật.</p><h3>Các dạng khô lá thường gặp</h3><ol><li><strong>Khô lá sinh lý (Lão hóa):</strong> Các lá già ở phần gốc (lá chân) chuyển vàng và khô dần theo quy luật sinh trưởng để tập trung dinh dưỡng nuôi lóng mía.</li><li><strong>Khô lá do hạn (Stress nước):</strong> Lá non và lá bánh tẻ bị xoăn lại (cuộn tròn) vào ban ngày để giảm thoát hơi nước. Nếu kéo dài, chóp lá và mép lá sẽ khô cháy màu nâu.</li></ol><h3>Tác động</h3><p>Nếu do hạn hán kéo dài, cây sẽ bị ""treo"" sinh trưởng, lóng ngắn, nứt thân và giảm năng suất đường nghiêm trọng.</p></div>","1. Chăm sóc và tưới tiêu:<br>- Đảm bảo đủ độ ẩm đất (khoảng 65-70%) trong giai đoạn vươn lóng.<br>- Nếu không có nước tưới, thực hiện tủ gốc bằng lá mía khô hoặc rơm rạ để giữ ẩm.<br><br>2. Kỹ thuật canh tác:<br>- Bóc lá già (lá chân) đã khô hoàn toàn để hạn chế nơi trú ngụ của chuột và sâu bệnh.<br>- Phun phân bón lá chứa <strong>Silic (Si)</strong> và <strong>Kali (K)</strong> để tăng cường khả năng chịu hạn cho cây.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764603780/aug_0_image236_irfpcx.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764603784/aug_0_image211_z3huml.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764603785/aug_0_image104_sej7up.jpg",Mía
"Cây cà phê khỏe mạnh",Coffee_Healthy,Cây khỏe,"<div><h2>Mô tả trạng thái cây</h2><p>Cây cà phê khỏe mạnh là tiêu chuẩn để so sánh và đánh giá các bệnh hại khác. Cây thể hiện khả năng sinh trưởng dinh dưỡng và sinh thực cân đối.</p><h3>Đặc điểm hình thái</h3><ul><li><strong>Bộ lá:</strong> Màu xanh đậm (đặc trưng của giống), phiến lá dày, bóng, lớp cutin bảo vệ phát triển tốt. Mép lá gợn sóng đều, không có vết cháy hay đốm lạ.</li><li><strong>Thân cành:</strong> Cành dự trữ phát triển mạnh, vươn dài, lóng đều. Vỏ cành không bị nứt nẻ hay sần sùi.</li><li><strong>Rễ:</strong> Hệ rễ tơ phát triển mạnh, màu trắng ngà, không bị sưng (tuyến trùng) hay thối đen (nấm).</li></ul></div>","Duy trì chế độ canh tác bền vững:<br>1. Dinh dưỡng: Bón cân đối N-P-K theo tỷ lệ 2-1-2 (mùa mưa) và tăng Kali vào cuối vụ. Bổ sung trung vi lượng (Bo, Zn, Mg).<br>2. Cắt tỉa: Tạo hình, tỉa cành tăm, cành chồi vượt để cây thông thoáng, hạn chế nấm bệnh.<br>3. Bảo vệ: Thăm vườn thường xuyên để phát hiện sớm các dấu hiệu rỉ sắt hoặc rệp sáp.","https://5.imimg.com/data5/SELLER/Default/2024/3/398513770/EN/CM/WE/7008314/coffea-arabica-leaves.jpg,https://i.ebayimg.com/images/g/TCAAAOSwsD5j06sH/s-l1200.jpg,https://cdn.apartmenttherapy.info/image/upload/v1589852194/stock/GettyImages-964994776.jpg",Cà phê
"Bệnh đốm đen vi khuẩn Xoài (Bệnh Loét)",Mango_Bacterial_Canker,Bệnh vi khuẩn,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh đốm đen (Bacterial Black Spot) hay bệnh Loét là bệnh nguy hiểm số 1 trên cây xoài, đặc biệt là các giống xoài Đài Loan, Cát Chu. Bệnh làm giảm giá trị thương phẩm tới 100%.</p><h3>Tác nhân & Cơ chế</h3><ul><li><strong>Tác nhân:</strong> Vi khuẩn <em>Xanthomonas campestris pv. mangiferaeindicae</em>.</li><li><strong>Lây lan:</strong> Qua vết thương cơ giới, mưa gió bão và dụng cụ cắt tỉa nhiễm khuẩn.</li></ul><h3>Triệu chứng chi tiết</h3><ul><li><strong>Trên lá:</strong> Vết bệnh là các đốm đen hình đa giác (góc cạnh), xung quanh có viền vàng (quầng vàng). Soi ngược ánh sáng thấy vết bệnh trong suốt (giọt dầu).</li><li><strong>Trên trái:</strong> Vết loét màu đen, xù xì, chảy nhựa (xì mủ), hình ngôi sao nứt nẻ. Trái non bị bệnh sẽ rụng, trái lớn bị thối.</li></ul></div>","1. Biện pháp canh tác:<br>- Cắt tỉa cành bệnh và đem tiêu hủy xa vườn. Tuyệt đối không cắt tỉa khi trời đang mưa hoặc ướt lá.<br>- Sát trùng dụng cụ cắt tỉa bằng cồn hoặc nước Javel.<br><br>2. Biện pháp hóa học (Đặc trị vi khuẩn):<br>- Phun phòng trước và sau các đợt mưa bão.<br>- Sử dụng thuốc gốc Đồng: <strong>Copper Oxychloride (Cốc 85)</strong>, <strong>Copper Hydroxide (Champion)</strong>.<br>- Kết hợp kháng sinh nông nghiệp: <strong>Kasugamycin</strong>, <strong>Streptomycin</strong> hoặc <strong>Bismerthiazol</strong>.<br>- Lưu ý: Vi khuẩn rất dễ kháng thuốc, cần luân phiên hoạt chất.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764604339/aug_1_IMG_20211106_135211_Custom_bjmsmh.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764604341/1_lpwkqk.webp,https://res.cloudinary.com/dzstqe0re/image/upload/v1764604342/aug_0_IMG_20211106_143145_Custom_klkibq.jpg",Xoài
"Bệnh phấn trắng Xoài",Mango_Powdery_Mildew,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh phấn trắng (Powdery Mildew) là ""sát thủ"" của mùa hoa xoài. Bệnh bùng phát mạnh khi thời tiết lạnh, có sương mù buổi sáng và nắng ấm buổi trưa.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Oidium mangiferae</em>.</li></ul><h3>Triệu chứng điển hình</h3><ul><li><strong>Trên chùm hoa:</strong> Xuất hiện lớp bột màu trắng xám bao phủ cuống hoa và nụ hoa. Nấm hút dinh dưỡng làm hoa khô đen và rụng hàng loạt (hiện tượng ""cháy"" hoa).</li><li><strong>Trên lá non:</strong> Lá bị phủ phấn trắng, biến dạng, cong queo và rụng sớm.</li><li><strong>Trên trái non:</strong> Trái bị bao phủ phấn trắng, sau đó vỏ trái bị chai sần, nứt nẻ và biến dạng, không lớn được.</li></ul></div>","1. Phòng ngừa:<br>- Tỉa cành tạo tán để ánh nắng xuyên vào bên trong tán cây, giảm độ ẩm cục bộ.<br><br>2. Biện pháp hóa học (Thời điểm vàng):<br>- Phun lần 1: Khi phát hoa vừa nhú (cựa gà).<br>- Phun lần 2: Khi hoa chuẩn bị nở (trước khi nở hoa rộ).<br>- Phun lần 3: Khi trái non vừa đậu.<br><br>3. Hoạt chất khuyên dùng:<br>- Nhóm Lưu huỳnh (Rất hiệu quả và rẻ tiền): <strong>Sulfur</strong> dạng bột thấm nước.<br>- Nhóm thuốc lưu dẫn: <strong>Hexaconazole</strong>, <strong>Difenoconazole</strong>, <strong>Azoxystrobin</strong> hoặc <strong>Tebuconazole</strong>.","https://pestsdiseases.com/wp-content/uploads/Mango-Powdery-Mildew-Disease-Management1.jpg,https://pestsdiseases.com/wp-content/uploads/Mango-Powdery-Mildew-Disease-Management2.jpg,https://gd.eppo.int/media/data/taxon/O/OIDIMA/pics/1024x0/13832.jpg",Xoài
"Bệnh phấn trắng Nho",Grape_Powdery_Mildew,Bệnh nấm,"<div><h2>Tổng quan bệnh hại</h2><p>Bệnh phấn trắng là bệnh phổ biến và khó trị nhất trên cây nho. Nấm bệnh tồn tại trong mắt ngủ và bùng phát ngay khi cây nẩy chồi.</p><h3>Tác nhân gây bệnh</h3><ul><li><strong>Nấm:</strong> <em>Erysiphe necator</em> (tên cũ <em>Uncinula necator</em>).</li></ul><h3>Triệu chứng nhận diện</h3><ul><li><strong>Trên lá:</strong> Xuất hiện các đốm mốc trắng xám ở mặt trên lá, sau đó lan rộng phủ kín toàn bộ lá. Lá bị bệnh thường giòn, mép lá cong lên.</li><li><strong>Trên quả:</strong> Đây là triệu chứng nguy hiểm nhất. Quả bị bao phủ bởi lớp phấn trắng như bột. Vỏ quả bị chai cứng, mất độ đàn hồi nên khi ruột quả lớn sẽ gây <strong>nứt quả</strong> (lộ hạt ra ngoài), dẫn đến thối hoặc khô quả.</li><li><strong>Mùi:</strong> Vườn bị bệnh nặng thường có mùi nấm mốc đặc trưng.</li></ul></div>","1. Biện pháp canh tác:<br>- Buộc cành, tỉa chồi nách thường xuyên để giàn nho thông thoáng.<br>- Bón cân đối NPK, tránh thừa Đạm khiến bộ lá quá rậm rạp.<br><br>2. Biện pháp hóa học:<br>- Giai đoạn nhạy cảm nhất là từ khi ra hoa đến khi quả bằng hạt đậu.<br>- Thuốc tiếp xúc: <strong>Sulfur (Lưu huỳnh)</strong> - phun sáng sớm hoặc chiều mát để tránh cháy lá.<br>- Thuốc nội hấp (Lưu dẫn): <strong>Tebuconazole</strong>, <strong>Myclobutanil</strong>, <strong>Triadimefon</strong> hoặc <strong>Azoxystrobin</strong>.<br>- Phun luân phiên các nhóm thuốc để tránh kháng thuốc.","https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLPATH-FRU-37-Powdery-Mildew-Grape-figure-1.png,https://cdn.mos.cms.futurecdn.net/gwnDyYphSVDySisqjUjiCm.jpg,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/3/7313/files/2021/04/powdery-mildew1.jpg",Nho
"Cây xoài khỏe mạnh",Mango_Healthy,Cây khỏe,"<div><h2>Mô tả trạng thái cây</h2><p>Cây xoài khỏe mạnh biểu hiện qua sự cân bằng giữa phát triển thân lá và khả năng ra hoa đậu quả.</p><h3>Đặc điểm hình thái</h3><ul><li><strong>Lá:</strong> Lá non (đọt) có màu đồng hoặc tím đỏ (tùy giống), sau chuyển sang xanh nhạt và xanh đậm. Lá sạch, không quăn queo, không có vết cắn của bọ cắt lá hay đốm vi khuẩn.</li><li><strong>Hoa:</strong> Chùm hoa to, dài, cuống hoa mập, màu sáng, không bị khô đen hay dính phấn trắng.</li><li><strong>Thân:</strong> Vỏ thân trơn láng, không có hiện tượng chảy nhựa (xì mủ) hay các lỗ đục của sâu đục thân.</li></ul></div>","Chăm sóc định kỳ:<br>1. Tưới nước: Đủ nước trong giai đoạn nuôi trái. Xiết nước (cắt nước) trong giai đoạn kích thích ra hoa.<br>2. Dinh dưỡng: Bón phân hữu cơ hoai mục sau thu hoạch để phục hồi cây. Bón NPK hàm lượng Kali cao khi nuôi trái để tăng độ ngọt.<br>3. Phòng trừ tổng hợp: Áp dụng IPM, thăm vườn thường xuyên.","https://www.greendna.in/cdn/shop/products/mango1_538x.jpg,https://kj1bcdn.b-cdn.net/media/38481/mango.png,https://img.freepik.com/premium-photo/green-mangifera-indica-mango-leaves-white-background-plant-with-green-leaves_570543-2616.jpg",Xoài
"Lá chuối khỏe mạnh",Banana_Healthy_Leaf,Cây khỏe,"<div><h2>Mô tả trạng thái lá</h2><p>Số lượng và chất lượng lá chuối quyết định trực tiếp đến trọng lượng buồng chuối. Một cây chuối cần giữ được ít nhất 10-12 lá xanh khỏe mạnh khi trổ buồng.</p><h3>Đặc điểm nhận biết</h3><ul><li><strong>Phiến lá:</strong> To, rộng, nguyên vẹn, màu xanh mướt và bóng (nhờ lớp sáp bảo vệ).</li><li><strong>Tư thế:</strong> Lá vươn đều ra các phía, cuống lá cứng cáp, không bị gãy gập (trừ khi gió bão).</li><li><strong>Sức khỏe:</strong> Không xuất hiện các vệt sọc đen (bệnh Sigatoka), không có đốm mắt cua, mép lá không bị cháy khô.</li></ul></div>","Duy trì sức khỏe bộ lá:<br>1. Vệ sinh: Thường xuyên cắt bỏ các lá già, lá khô treo trên cây để loại bỏ nơi trú ẩn của rệp và nấm bệnh.<br>2. Dinh dưỡng: Chuối cần rất nhiều <strong>Kali (K)</strong>. Bón đủ Kali giúp lá dày, cứng, tăng cường vận chuyển đường bột vào trái.<br>3. Quản lý nước: Chuối háo nước nhưng sợ úng. Cần thoát nước tốt mùa mưa.","https://inmathi.com/wp-content/uploads/2022/10/health-benefits-of-banana-leaves.webp,https://tiimg.tistatic.com/fp/1/007/720/self-life-1-month-green-banana-leaf-510.jpg,https://tiimg.tistatic.com/fp/1/007/554/ayurvedic-properties-enriched-natural-green-banana-leaves-for-good-health-302.jpg",Chuối
"Sâu hại lá Chuối (Sâu cuốn lá/Sâu ăn tạp)",Banana_Insect_Pest,Côn trùng gây hại,"<div><h2>Tổng quan các loài gây hại</h2><p>Nhóm sâu ăn lá làm giảm diện tích quang hợp, cây còi cọc và buồng chuối nhỏ. Hai đối tượng phổ biến nhất là Sâu cuốn lá và Sâu khoang.</p><h3>Chi tiết từng loại</h3><ul><li><strong>Sâu cuốn lá (Banana Skipper - <em>Erionota thrax</em>):</strong><br>- Sâu non cắt một đường trên phiến lá, nhả tơ cuốn tròn lại thành hình ống thuốc pháo.<br>- Sâu nằm trong ống ăn phá và thải phân ra ngoài (phân to như hạt gạo màu đen).<br>- Tấn công mạnh vào mùa mưa.</li><li><strong>Sâu khoang/Sâu ăn tạp (<em>Spodoptera litura</em>):</strong><br>- Sâu ăn khuyết phiến lá, chỉ chừa lại gân chính. Sâu thường đi theo đàn, sức ăn rất khỏe.</li></ul></div>","1. Biện pháp thủ công (Hiệu quả nhất):<br>- Thường xuyên kiểm tra, dùng tay bóp chết sâu trong các tổ lá cuốn hoặc ngắt bỏ lá bị cuốn đem tiêu hủy.<br>- Dùng vợt bắt bướm vào ban đêm.<br><br>2. Biện pháp sinh học:<br>- Sử dụng chế phẩm nấm xanh (Metarhizium) hoặc vi khuẩn <strong>Bt (Bacillus thuringiensis)</strong> phun khi sâu còn non.<br><br>3. Biện pháp hóa học:<br>- Khi mật độ quá cao, sử dụng thuốc gốc Cúc tổng hợp (Pyrethroid) như: <strong>Cypermethrin</strong>, <strong>Deltamethrin</strong> hoặc <strong>Abamectin</strong>, <strong>Emamectin benzoate</strong>.<br>- Lưu ý: Phun vào chiều tối khi sâu ra ăn.","https://www.shutterstock.com/image-photo/banana-leaves-damaged-eaten-by-260nw-1312685648.jpg,https://www.nimblemill.com/itsnotworkitsgardening/August%202010/IMGP6131.jpg,https://www.nimblemill.com/itsnotworkitsgardening/August%202010/IMGP6137.jpg",Chuối
"Bọ vòi voi cắt lá Xoài",Mango_Cutting_Weevil,Côn trùng gây hại,"<div><h2>Tổng quan côn trùng</h2><p>Bọ vòi voi hay Bọ cắt lá (Mango Leaf Cutting Weevil) là đối tượng gây hại đặc thù và cực kỳ nguy hiểm trong giai đoạn cây ra lộc non.</p><h3>Tác nhân gây hại</h3><ul><li><strong>Tên khoa học:</strong> <em>Deporaus marginatus</em> Pascoe.</li><li><strong>Đặc điểm:</strong> Bọ trưởng thành nhỏ, màu nâu đỏ hoặc đen, đầu có vòi dài.</li></ul><h3>Cơ chế và Triệu chứng</h3><ul><li><strong>Cơ chế:</strong> Bọ cái dùng vòi đục lỗ đẻ trứng vào gân chính của lá non, sau đó cắt đứt ngang cuống lá (vết cắt sắc lẹm) để lá rơi xuống đất. Ấu trùng sẽ nở và ăn phần thịt lá phân hủy dưới đất để lớn lên.</li><li><strong>Triệu chứng:</strong> Cành non trơ trụi, chỉ còn lại cuống lá cụt ngủn. Dưới gốc cây đầy rẫy những mẩu lá non bị cắt rơi rụng. Cây không ra được lá mới, suy kiệt và không thể ra hoa.</li></ul></div>","1. Biện pháp cơ giới (Bắt buộc):<br>- Thu gom toàn bộ lá non bị cắt rụng dưới gốc cây đem đốt hoặc chôn sâu. Đây là biện pháp the chốt để tiêu diệt trứng và ấu trùng, cắt đứt vòng đời của bọ.<br><br>2. Biện pháp hóa học:<br>- Thời điểm phun: Phun ngay khi cây vừa nhú đọt non (lộc) khoảng 3-5cm. Nếu để lá mở ra mới phun thì đã muộn.<br>- Hoạt chất: <strong>Cypermethrin</strong>, <strong>Alpha-cypermethrin</strong>, <strong>Fenobucarb</strong>, <strong>Permethrin</strong> hoặc <strong>Etofenprox</strong>.<br>- Phun 2 lần cách nhau 5-7 ngày vào sáng sớm hoặc chiều mát.","https://res.cloudinary.com/dzstqe0re/image/upload/v1764605413/20211011_162120_Custom_Custom_uymyhw.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764605414/20211011_162431_Custom_feansi.jpg,https://res.cloudinary.com/dzstqe0re/image/upload/v1764605416/20211011_162502_Custom_Custom_a1emjp.jpg",Xoài
